Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
pyro,0.1.0,2017-11-03,0,1,1,0,0,0,1,1,0,1
pyro,0.1.1,2017-11-05,0,1,1,0,0,0,1,1,0,1
pyro,0.1.2,2017-11-10,0,1,1,1,0,0,0,0,0,1
pyro,0.2.0,2018-04-25,0,1,1,0,0,0,1,1,0,1
pyro,0.2.1,2018-05-22,0,0,1,1,0,0,0,0,0,1
pyro,0.3.0,2018-12-07,0,1,1,0,0,0,1,1,0,1
pyro,0.3.1,2019-02-13,1,1,1,1,0,0,1,0,0,1
pyro,0.3.2,2019-04-23,0,1,1,0,0,0,1,1,0,1
pyro,0.3.3,2019-05-03,1,0,1,0,0,0,1,0,0,1
pyro,0.3.4,2019-07-16,0,1,1,0,0,0,1,1,0,1
pyro,0.4.0,2019-08-10,0,1,1,0,0,0,1,1,0,1
pyro,0.4.1,2019-08-19,0,1,1,0,0,0,1,1,0,1
pyro,0.5.0,2019-10-23,0,1,1,0,0,0,1,1,0,1
pyro,0.5.1,2019-10-24,0,1,1,0,0,0,1,1,0,1
pyro,1.0.0,2019-11-16,0,1,1,0,0,0,1,1,0,1
pyro,1.1.0,2019-12-07,0,1,1,0,0,0,1,1,0,1
pyro,1.2.0,2020-01-17,0,1,1,0,0,0,1,1,0,1
pyro,1.2.1,2020-01-23,0,1,1,0,0,0,1,1,0,1
pyro,1.3.0,2020-03-08,0,1,1,0,0,0,1,1,0,1
pyro,1.3.1,2020-04-07,1,1,1,1,0,0,0,1,0,1
pyro,1.4.0,2020-07-20,1,1,1,1,0,0,1,1,0,1
pyro,1.5.0,2020-10-15,0,1,1,0,0,0,1,1,0,1
pyro,1.5.1,2020-11-17,0,1,1,0,0,0,1,1,0,1
pyro,1.5.2,2021-02-01,0,1,1,0,0,0,1,1,0,1
pyro,1.6.0,2021-03-04,1,1,1,1,0,0,1,0,0,1
pyro,1.7.0,2021-07-06,1,1,1,1,0,1,1,1,0,1
pyro,1.8.0,2021-12-14,1,1,1,1,0,0,1,1,0,1
pyro,1.8.1,2022-03-24,1,1,1,1,0,0,1,1,0,1
pyro,1.8.2,2022-09-06,0,1,1,1,0,0,1,1,0,1
pyro,1.8.3,2022-11-22,0,1,1,0,0,0,1,1,0,1
pyro,1.8.4,2023-01-03,1,1,1,1,0,0,1,1,0,1
pyro,1.8.5,2023-05-29,1,1,1,1,0,0,1,1,0,1
pyro,1.8.6,2023-07-29,1,1,1,1,0,0,1,1,0,1
pyro,1.9.0,2024-02-19,1,1,1,1,0,0,1,1,0,1
